Unnamed: 0,Timestamp,ID,Length,Data
0,0.0,452,6,000000030000
1,0.001037,208,8,179632004C323232
2,0.001238,228,8,32000036FE8112C0
3,0.001333,308,2,0000
4,0.001598,348,8,0027263D01036000
5,0.00182,2F5,7,720000FA080001
6,0.002035,358,7,60DD0016BA00D7
7,0.002265,368,7,00000000000000
8,0.002533,3E8,7,0F53267480E080
9,0.002969,305,7,FFDC00079F0000
10,0.003218,30D,8,0000000000000000
11,0.003421,26C,6,00CD7F00051F
12,0.003661,3CD,8,FFFB0000002260FE
13,0.003888,40D,8,65CCCC958CDB1C7F
14,0.009436,412,8,1808000000550000
15,0.011068,208,8,179632004C323232
16,0.011284,228,8,32000045FE8112C0
17,0.011485,26C,6,00CD7F00052F
18,0.011646,32C,4,FF3B0D1C
19,0.011866,2F5,7,530000FA080011
20,0.012096,368,7,00000000000000
21,0.012317,3E8,7,0F53268380E080
22,0.012547,488,8,65C05D841855FF3C
23,0.012727,56C,5,322815025B
24,0.012953,305,7,FFDC0007600000
25,0.013195,34D,8,0023FAFA000F00E2
26,0.013434,3CD,8,FFFB0000002260FE
27,0.013682,44D,8,0000000000000000
28,0.019089,26C,6,00CD7F00052F
29,0.019528,572,8,A980706001000000
30,0.019784,50E,8,000000120000FF05
31,0.021028,208,8,179632004C323232
32,0.021224,228,8,32000054FE8112C0
33,0.021375,308,2,0000
34,0.021598,348,8,0027263D01036000
35,0.021821,2F5,7,540000FA080001
36,0.022038,358,7,60DA0018BA00D7
37,0.022269,368,7,00000000000000
38,0.022492,3E8,7,0F53268F80E080
39,0.02271,468,7,200940C2400700
40,0.022936,305,7,FFDC0007710000
41,0.023186,30D,8,0000000000000000
42,0.023402,38D,7,00005FAAAF0877
43,0.023643,3CD,8,FFFB0000002260FE
44,0.023867,40D,8,65CCCC958CDB1C70
45,0.024115,78D,8,0000000000000002
46,0.027131,26C,6,00CD7F00052F
47,0.031021,208,8,179632004C323232
48,0.031226,228,8,32000063FE8112C0
49,0.031387,32C,4,FF3B0D1C
50,0.031617,368,7,00000000000000
51,0.031837,2F5,7,350000FA080011
52,0.032053,3E8,7,0F53269580E080
53,0.03296,305,7,FFDC0007420000
54,0.033201,34D,8,0023FAFA000000E2
55,0.033441,3CD,8,FFFC0000002260FE
56,0.035201,26C,6,00CD7F00052F
57,0.039471,592,8,554A002E2410071A
58,0.039733,3F2,8,0000200000000000
59,0.039983,432,8,811E40FE00083D52
60,0.040146,56E,3,F80000
61,0.041039,208,8,179632004C323232
62,0.041225,228,8,32000072FE8112C0
63,0.041375,308,2,0000
64,0.041599,348,8,0027263D01036000
65,0.04182,2F5,7,360000FA080001
66,0.042039,358,7,60DF0017BA00D7
67,0.04227,368,7,00000000000000
68,0.042491,3E8,7,0F53269B80E080
69,0.042975,305,7,FFDC0007530000
70,0.043225,30D,8,0000000000000000
71,0.043424,26C,6,00CD7F00052F
72,0.043665,3CD,8,FFFC0000002260FE
73,0.043889,40D,8,65CCCC958CDB1C71
74,0.044058,42D,4,21000000
75,0.049437,552,8,2733651600534CFE
76,0.049658,452,6,000000030000
77,0.051024,208,8,17B932004C323232
78,0.05123,228,8,32000081FE8112C0
79,0.051429,26C,6,00CD7F00052F
80,0.051592,32C,4,FF3B0D1C
81,0.051812,2F5,7,270000FA080001
82,0.052043,368,7,00000000000000
83,0.052259,3E8,7,0F5326A780E080
84,0.052961,305,7,FFDC0007240000
85,0.053199,34D,8,0023FAFA000100E2
86,0.053443,3CD,8,FFFD0000002260FE
87,0.05369,44D,8,0000000000000000
88,0.059156,26C,6,00CD7F00052F
89,0.059512,412,8,1808000000550000
90,0.059736,532,6,87AC6E000000
91,0.061024,208,8,17B932004C323232
92,0.061232,228,8,32000091FE8012C0
93,0.061326,308,2,0000
94,0.061606,348,8,0027263D01036000
95,0.061827,2F5,7,180000FA080001
96,0.062046,358,7,60DA0018BA00D7
97,0.062277,368,7,00000000000000
98,0.062498,3E8,7,0F5326A380E080
99,0.062716,468,7,200940C2400700
100,0.062963,305,7,FFDC0007350000
101,0.063213,30D,8,0000000000000000
102,0.063428,38D,7,00005FAAAF1777
103,0.063668,3CD,8,FFFC0000002260FE
104,0.063895,40D,8,65CCCC958CDB1C72
105,0.067205,26C,6,00CD7F00053F
106,0.069496,4F2,8,D5489210758DC014
107,0.071019,208,8,17B932004C323232
108,0.071228,228,8,320000AFFE8112C0
109,0.071389,32C,4,FF3B0D1C
110,0.071618,368,7,00000000000000
111,0.071843,2F5,7,F90000FA080011
112,0.072059,3E8,7,0F5326A780E080
113,0.072298,588,8,FFFF00002F552006
114,0.072542,608,8,01BE0080FF02FF2F
115,0.072961,305,7,FFDC0007060000
116,0.073203,34D,8,0023FAFA000200E2
117,0.073443,3CD,8,FFFB0000002260FE
118,0.073911,495,3,FF0220
119,0.075301,26C,6,00CD7F00053F
120,0.079425,48E,4,00000000
121,0.081027,208,8,17B932004C323232
122,0.081246,228,8,320000BEFE8112C0
123,0.081342,308,2,0000
124,0.081605,348,8,0027263D01036000
125,0.081796,072,5,0200000000
126,0.082039,2F5,7,EA0000FA080011
127,0.082242,358,7,60D90015BA00D7
128,0.082488,368,7,00000000000000
129,0.082705,3E8,7,0F5326A580E080
130,0.082962,305,7,FFDC0007170000
131,0.083212,30D,8,0000000000000000
132,0.08343,26C,6,00CD7F00053F
133,0.083658,3CD,8,FFFB0000002260FE
134,0.083895,40D,8,65CCCC958CDB1C73
135,0.089373,612,8,0022010E02D40410
136,0.08965,3F2,8,0000200000000000
137,0.089896,432,8,811F40FE00083D52
138,0.091025,208,8,17B932004C323232
139,0.091249,228,8,320000CEFE8012C0
140,0.091442,26C,6,00CD7F00053F
141,0.091637,32C,4,FF3B0D1C
142,0.09182,2F5,7,DB0000FA080011
143,0.092055,368,7,00000000000000
144,0.092265,3E8,7,0F5326AE80E080
145,0.096012,305,7,FFDC0007E80000
146,0.096081,34D,8,0023FAFA000300E2
147,0.096272,50D,8,00719A71C68C8047
148,0.099244,26C,6,00CD7F00053F
149,0.099446,452,6,000000030000
150,0.101027,208,8,17B932004C323232
151,0.101231,228,8,320000DDFE8012C0
152,0.101383,308,2,0000
153,0.101604,348,8,0027263D01036000
154,0.101825,2F5,7,BC0000FA080021
155,0.102041,358,7,60DD0016BA00D7
156,0.102271,368,7,00000000000000
157,0.102807,3E8,7,0F5326B680E080
158,0.103037,305,7,FFDC0007F90000
159,0.103287,30D,8,0000000000000000
160,0.103502,38D,7,00005FAAAF2677
161,0.103741,3CD,8,FFFB0000002260FE
162,0.103966,40D,8,65CCCC958CDB1C74
163,0.104183,468,7,200940C2400700
164,0.107269,26C,6,00CD7F00053F
165,0.1094,412,8,1808000000550000
166,0.111027,208,8,179932004C323232
167,0.111231,228,8,320000EBFE8112C0
168,0.11146,368,7,00000000000000
169,0.111623,32C,4,FF3B0D1C
170,0.111845,2F5,7,BD0000FA080011
171,0.112062,3E8,7,0F5326BA80E080
172,0.112292,488,8,65C15D841855FF3C
173,0.112473,56C,5,322815025B
174,0.112979,305,7,FFDC0007CA0000
175,0.113265,34D,8,0023FAFA000400E2
176,0.113505,3CD,8,FFFB0000002260FE
177,0.115625,26C,6,00CD7F000528
178,0.11946,572,8,A980706001000000
179,0.119719,50E,8,000000120000FF07
180,0.121016,208,8,179932004C323232
181,0.121249,228,8,320000FBFE8012C0
182,0.121345,308,2,0000
183,0.121623,348,8,0027263D01036000
184,0.121831,2F5,7,BE0000FA080001
185,0.122065,358,7,60E40018BA00D7
186,0.122282,368,7,00000000000000
187,0.122515,3E8,7,0F5326CA80E080
188,0.122943,305,7,FFDC0007DB0000
189,0.123178,30D,8,0000000000000000
190,0.12342,3CD,8,FFFA0000002260FE
191,0.123662,40D,8,65CCCC958CDB1C75
192,0.123862,26C,6,00CD7F000528
193,0.130076,5EE,4,FCFF97C8
194,0.131016,208,8,179932004C323232
195,0.131235,228,8,3200000AFE8012C0
196,0.131464,368,7,00000000000000
197,0.131664,26C,6,00CD7F000528
198,0.131887,2F5,7,9F0000FA080011
199,0.132053,32C,4,FF3B0D1C
200,0.132264,3E8,7,0F5326D980E080
201,0.13295,305,7,FFDC0007AC0000
202,0.133186,34D,8,0023FAFA000500E2
203,0.133425,3CD,8,FFFB0000002260FE
204,0.133674,44D,8,0000000000000000
205,0.139362,592,8,554A002E20100741
206,0.139561,26C,6,00CD7F000528
207,0.139811,3F2,8,0000200000000000
208,0.140066,432,8,811040FE00083D52
209,0.140259,56E,3,F80000
210,0.141019,208,8,179932004C323232
211,0.141235,228,8,32000018FE8112C0
212,0.14133,308,2,0000
213,0.141607,348,8,0028263C01036000
214,0.141832,2F5,7,900000FA080001
215,0.142048,358,7,60E70016BA00D7
216,0.142278,368,7,00000000000000
217,0.142491,795,6,000000000000
218,0.142706,3E8,7,0F5326E580E080
219,0.142924,468,7,200940C2400700
220,0.143151,305,7,FFDC0007BD0000
221,0.143401,30D,8,0000000000000000
222,0.143616,38D,7,00005FAAAF3577
223,0.143856,3CD,8,FFFC0000002260FE
224,0.144079,40D,8,65CCCC958CDB1C76
225,0.14425,42D,4,21000000
226,0.147599,26C,6,00CD7F000528
227,0.149506,452,6,000000030000
228,0.151017,208,8,179932004C323232
229,0.151236,228,8,32000027FE8112C0
230,0.151466,368,7,00000000000000
231,0.151634,32C,4,FF3B0D1C
232,0.151855,2F5,7,810000FA080001
233,0.152073,3E8,7,105326E980E080
234,0.152925,305,7,FFDC00078E0000
235,0.153161,34D,8,0023FAFA000600E2
236,0.153402,3CD,8,FFFB0000002260FE
237,0.155623,26C,6,00CD7F000528
238,0.159795,412,8,1808000000550000
239,0.16002,532,6,87AC6E000000
240,0.161022,208,8,178D32004C323232
241,0.161239,228,8,32000036FE8112C0
242,0.161334,308,2,0000
243,0.161613,348,8,0028263C01036000
244,0.161834,2F5,7,720000FA080001
245,0.16205,358,7,60E60016BA00D7
246,0.162283,368,7,00000000000000
247,0.162543,3E8,7,0F5326DF80E080
248,0.162952,305,7,FFDC00079F0000
249,0.163202,30D,8,0000000000000000
250,0.163443,3CD,8,FFFB0000002260FE
251,0.163666,40D,8,65CCCC958CDB1C77
252,0.163983,26C,6,00CD7F000528
253,0.170797,4F2,8,D5489210758DC014
254,0.171036,208,8,178D32004C323232
255,0.171273,228,8,32000046FE8012C0
256,0.171503,368,7,00000000000000
257,0.171723,3E8,7,105326D980E080
258,0.171924,26C,6,00CD7F000537
259,0.172147,2F5,7,930000FA08FFF1
260,0.172308,32C,4,FF3B0D1C
261,0.172548,588,8,FFFF00002F552006
262,0.172789,608,8,02658382FFFFFF27
263,0.173018,305,7,FFDC0007600000
264,0.173254,34D,8,0023FAFA000700E2
265,0.173493,3CD,8,FFFB0000002260FE
266,0.173742,44D,8,0000000000000000
267,0.173929,495,3,FF0220
268,0.179684,26C,6,00CD7F000537
269,0.179939,48E,4,00000000
270,0.180179,4B2,8,4A54303534393039
271,0.181021,208,8,178D32004C323232
272,0.181237,228,8,32000054FE8112C0
273,0.181407,308,2,0000
274,0.181612,348,8,0028263C01036000
275,0.181803,072,5,0200000000
276,0.182027,2F5,7,540000FA080001
277,0.182245,358,7,60E30016BA00D7
278,0.182476,368,7,00000000000000
279,0.182696,3E8,7,0F5326D480E080
